geometry,n,CV,L_m,m_realizations,bias,bias_se,bias_p,MAE,RMSE,sigma_rep,sigma_rep_lo,sigma_rep_hi,sigma_rep_chi2_lo,sigma_rep_chi2_hi,bias_pure,sigma_rep_pure,RMSE_pure,sd_pred_loglinear,sampler
open_path,2,0.75,500.0,20,0.013024050474505064,0.03250158528674017,0.6930962639696641,0.11302223254061339,0.14226852697499937,0.14535150815531606,0.1003642532226632,0.1793273021292742,0.11053842575347825,0.212296290078806,-0.003755823532416378,0.17014385697462062,0.16587824352004935,0.18024739816562674,cholesky
open_path,2,1.0,100.0,20,0.019160949425120775,0.024679263714247203,0.44707173903264896,0.08490273805890965,0.1092675481327455,0.11036902259940139,0.07404478655936927,0.13566103886861866,0.08393458151842156,0.16120186391488675,-0.012799875179105347,0.12443795568987688,0.12196065504933405,0.14647285901872903,circulant
open_path,2,1.0,150.0,20,0.021330761388966966,0.030361697191181043,0.49085185122009134,0.1050917230074649,0.13405156415231972,0.1357816376634905,0.09090959358593448,0.1676591438487503,0.103260631169464,0.1983188086771113,-0.008417135748138339,0.15428566951860867,0.15061445017682618,0.17916810211547476,circulant
open_path,2,1.0,200.0,20,0.022494834143088154,0.033819778576283356,0.5139555399964296,0.11686601870125293,0.14912340057533865,0.1512466477611213,0.10251808878329394,0.18840324867269978,0.11502162279692674,0.22090656377800816,-0.005276962242172761,0.17343119914799127,0.1691221692343142,0.19964828419496483,circulant
open_path,2,1.0,250.0,20,0.023060830361642505,0.03578317389666701,0.5269818884686457,0.12359177931874388,0.1576707869113095,0.16002721856728697,0.10323362745176873,0.19647307721763363,0.12169916255174905,0.23373121644643022,-0.003225791303904797,0.18480045491097638,0.18015008592302967,0.21217720675606802,circulant
open_path,2,1.0,300.0,20,0.023384867624552913,0.03677740198478224,0.5324599231263357,0.1276386559315827,0.16200561926079263,0.16447354174761758,0.10652047823478196,0.20354712337331404,0.12508054862047674,0.2402253899686405,-0.0018319320480568945,0.1909009465843154,0.18607624461891137,0.21953079859303515,circulant
open_path,2,1.0,400.0,20,0.005055881175004014,0.038085903686094505,0.8957874006307623,0.1341352097431937,0.16608957543024377,0.17032533925323426,0.11849368871526562,0.20867545705289303,0.12953078441306173,0.24877235942565742,-0.010376132034702636,0.19667724421304153,0.1919778778601226,0.22520902882369348,cholesky
open_path,2,1.0,500.0,20,0.011350146895066714,0.04020539723841958,0.7807626109411129,0.13932627873756587,0.17561842502830619,0.179804002574977,0.12375797027338707,0.223861820744043,0.136739216820334,0.26261662622171844,-0.0017637226823819143,0.20961167693042188,0.2043118035454749,0.22463352224968697,cholesky
open_path,2,1.25,100.0,20,0.017334330747083758,0.02898692765366808,0.5568982191489682,0.10005820789326296,0.1275346091993466,0.12963348138494063,0.0902069039507297,0.15905574874425452,0.09858501737678792,0.18933898600223306,-0.016944318019644865,0.14401496634535838,0.14138742842994506,0.17066143630043407,circulant
open_path,2,1.25,150.0,20,0.020018929404603196,0.035431223128715,0.5786791564232828,0.12340142421117503,0.15573316091971381,0.15845324688353907,0.10558383191938939,0.19382468094826732,0.12050217220531155,0.23143231804909323,-0.011567905435082617,0.17764292838431311,0.17353090773940388,0.20875598285645505,circulant
open_path,2,1.25,200.0,20,0.0214541981478047,0.03937656670266953,0.5921973077525363,0.13694337951643795,0.17297412731004347,0.17609735973544763,0.12008813722631745,0.21724683233338268,0.1339203505456603,0.25720280882507746,-0.007661012853030372,0.1995051298736041,0.19460440159853465,0.23261826910385647,circulant
open_path,2,1.25,250.0,20,0.022137188158054828,0.04162754655074157,0.6010335144448206,0.14389271289207867,0.1827956648949698,0.1861640476479901,0.11940843070387736,0.22822343100679077,0.1415759700058655,0.2719059276598012,-0.0051011662551929595,0.2126403148988967,0.20731890951249474,0.24721622215740735,circulant
open_path,2,1.25,300.0,20,0.02250012020332546,0.04277312434465266,0.6049509579353726,0.14859372694408773,0.1877964817748814,0.19128722728938902,0.12516052954294282,0.23512342704965392,0.14547209891157575,0.27938869853077186,-0.003376109949681094,0.21978615997087714,0.2142476520930839,0.25578418862758795,circulant
open_path,2,1.25,400.0,20,0.0027622110182655866,0.04393481607911635,0.9505262002208635,0.15455132662115575,0.1915273427579448,0.19648247066370989,0.13532009576527246,0.24056319725996958,0.1494230315939527,0.2869767236460412,-0.009928396760560874,0.22578518473402656,0.22029202260940975,0.2624001237114029,cholesky
open_path,2,1.25,500.0,20,0.010588766258557755,0.046596740549206074,0.8226623207022786,0.16113490338131894,0.2033863081361891,0.20838695879589134,0.1420247605041467,0.2573297637917702,0.15847628046789067,0.30436408135442333,0.0007762433417021604,0.2423797077115639,0.23624379172488646,0.26172957778788997,cholesky
open_path,2,1.5,100.0,20,0.015552644754592431,0.032826056823639246,0.6410487233462385,0.11367708339651242,0.14392822823911094,0.14680258898185636,0.10157728026475954,0.18069859192201126,0.11164195878345841,0.2144156975757672,-0.021071237177746876,0.16111295184208682,0.15844087580200988,0.19100194023550782,circulant
open_path,2,1.5,150.0,20,0.01875012502050099,0.03980303139157171,0.6429523017393438,0.13907129475089194,0.17450762745362972,0.17800456780422477,0.11974763587002844,0.2195277767726636,0.13537076396195374,0.25998842283451107,-0.014758366156837344,0.1973683042559632,0.19293611512687306,0.23363683457556783,circulant
open_path,2,1.5,200.0,20,0.020469393700192632,0.04409788364979412,0.647792574610531,0.1540538771932713,0.19330504283095745,0.19721173100963238,0.13388448360187813,0.24095920990477152,0.14997762708199244,0.2880418606226421,-0.010127230733555086,0.22124579209240428,0.2158813940454255,0.2603431782611164,circulant
open_path,2,1.5,250.0,20,0.021281216428140286,0.04656139200603061,0.6528126096366489,0.16140587100480547,0.20406908501266702,0.20822887530499948,0.13869577609420242,0.2558000913691173,0.15835605949156528,0.30413318909148795,-0.007088122703982747,0.23575895969602426,0.2298987042298645,0.276681007223171,circulant
open_path,2,1.5,300.0,20,0.0216886734594576,0.04782273537818069,0.6553099719881199,0.1659750572338492,0.20957973403554409,0.2138697743511923,0.141512479846948,0.2627333958183294,0.16264590903157947,0.31237212624056915,-0.005054493511164693,0.24376093356837272,0.2376425277640196,0.286270157854696,circulant
open_path,2,1.5,400.0,20,0.0011866340777573286,0.04876221109900489,0.9808390694184824,0.1712591913469864,0.21255286282346067,0.21807123750113933,0.15103204731162953,0.2681143105752101,0.1658410813992451,0.3185086641475819,-0.00911262698447163,0.24978521430055678,0.24363099267042046,0.2936746217152737,cholesky
