run,geometry,n,CV,L_m,seed,e_signed,e_pure_representativeness,e_transport,sd_pred_loglinear,sd_pred_lognormal,sd_pred_mc,z_total_loglinear,z_pure_loglinear,z_total_lognormal,z_pure_lognormal,z_total_mc,z_pure_mc,pit_pure_mc
source_heterogeneity_les_rice_paddy_l500_cv1p0_s4_wind3_n1_op,open_path,1,1.0,500.0,4,-0.1862697633816488,-0.1905609742589734,0.0042912108773246,0.2221809597350492,0.2604978039012791,0.22144164188423754,-0.8383696046851877,-0.8576836398862322,-0.7150531044485868,-0.7315262217380931,-0.841168633851733,-0.8605471520058203,0.176
source_heterogeneity_les_rice_paddy_l500_cv1p0_s5_wind3_n1_op,open_path,1,1.0,500.0,5,-0.1147594204905551,-0.16620976931892,0.0514503488283649,0.2221809597350492,0.2604978039012791,0.22144164188423754,-0.5165132990126864,-0.7480828668537807,-0.4405389173032933,-0.6380467198944547,-0.5182377601343273,-0.7505804595045815,0.2235
source_heterogeneity_les_rice_paddy_l500_cv1p0_s6_wind3_n1_op,open_path,1,1.0,500.0,6,0.0338494659660413,0.0661455061054193,-0.032296040139378,0.2221809597350492,0.2604978039012791,0.22144164188423754,0.15235088554125784,0.29771005663265576,0.1299414638400147,0.2539196304721497,0.15285953300389948,0.2987040086164011,0.66525
source_heterogeneity_les_rice_paddy_l500_cv1p0_s7_wind3_n1_op,open_path,1,1.0,500.0,7,0.4193381707258395,0.4456143311325025,-0.026276160406663,0.2221809597350492,0.2604978039012791,0.22144164188423754,1.8873722177899506,2.005636899146973,1.6097570284498683,1.710626056952776,1.8936735076461175,2.012333034296481,0.957
source_heterogeneity_les_rice_paddy_l100_cv2p0_s0_wind3_n1_op,open_path,1,2.0,100.0,0,-0.0977412714569275,-0.0955015915785836,-0.0022396798783438,0.2215703589881211,0.27051205251869626,0.25543945301910553,-0.44112972467661,-0.4310215139548682,-0.36131947004532144,-0.35304006120756143,-0.38263968350111116,-0.37387173535577756,0.38425
source_heterogeneity_les_rice_paddy_l100_cv2p0_s1_wind3_n1_op,open_path,1,2.0,100.0,1,0.0853226626489831,0.0640096474304829,0.0213130152185001,0.2215703589881211,0.27051205251869626,0.25543945301910553,0.38508157426218476,0.28889084136887916,0.3154116862984731,0.23662401299498076,0.334023040061088,0.25058637839196796,0.6825
source_heterogeneity_les_rice_paddy_l100_cv2p0_s2_wind3_n1_op,open_path,1,2.0,100.0,2,-0.1579244126513793,-0.1745346948841827,0.0166102822328034,0.2215703589881211,0.27051205251869626,0.25543945301910553,-0.7127506286156533,-0.7877168032820667,-0.5837980643781646,-0.6452011777631234,-0.618245970952527,-0.6832722698914032,0.22225
source_heterogeneity_les_rice_paddy_l100_cv2p0_s3_wind3_n1_op,open_path,1,2.0,100.0,3,-0.1462612979250776,-0.1418590162658812,-0.0044022816591964,0.2215703589881211,0.27051205251869626,0.25543945301910553,-0.6601122036044497,-0.6402436540416789,-0.5406831102838527,-0.5244092266686592,-0.5725869523927379,-0.5553528031367609,0.2895
source_heterogeneity_les_rice_paddy_l100_cv2p0_s4_wind3_n1_op,open_path,1,2.0,100.0,4,0.1111580835435578,0.0649956529466305,0.0461624305969272,0.2215703589881211,0.27051205251869626,0.25543945301910553,0.5016830051239717,0.2933409199834129,0.4109173048246166,0.24026897264453076,0.4351641151347273,0.2544464145159642,0.6835
source_heterogeneity_les_rice_paddy_l100_cv2p0_s5_wind3_n1_op,open_path,1,2.0,100.0,5,-0.3477123163211165,-0.3926629563429918,0.0449506400218753,0.2215703589881211,0.27051205251869626,0.25543945301910553,-1.569308809666902,-1.7721817942446145,-1.285385671668306,-1.4515543861612346,-1.361231838744618,-1.5372055949149823,0.00575
source_heterogeneity_les_rice_paddy_l100_cv2p0_s6_wind3_n1_op,open_path,1,2.0,100.0,6,-0.1168631827674303,-0.2027947318983497,0.0859315491309194,0.2215703589881211,0.27051205251869626,0.25543945301910553,-0.5274314818151989,-0.9152611063342728,-0.4320073049586335,-0.7496698576280023,-0.4574985633041171,-0.7939052855832013,0.1735
source_heterogeneity_les_rice_paddy_l100_cv2p0_s7_wind3_n1_op,open_path,1,2.0,100.0,7,0.0184480754186474,-0.0421226178471926,0.06057069326584,0.2215703589881211,0.27051205251869626,0.25543945301910553,0.08326057466755489,-0.19010944442009453,0.06819687051604613,-0.15571438483052924,0.0722209322037171,-0.16490255263756007,0.4975
