L_m,CV,seed,n,network,q_posterior_kg_s,q_rel_error,posterior_sigma_kg_s,ak_diagonal,chi2_per_dof_or_nan,converged
250,0.5,0,4,point,0.027293942,-0.017426,0.005746857,0.999967,1.1345,True
250,0.5,1,4,point,0.028225596,+0.016113,0.005746857,0.999967,0.5432,True
250,0.5,2,4,point,0.024937246,-0.102266,0.005746857,0.999967,0.5028,True
250,0.5,3,4,point,0.024491462,-0.118314,0.005746857,0.999967,0.9979,True
250,0.5,4,4,point,0.026425277,-0.048698,0.005746857,0.999967,0.2884,True
250,0.5,5,4,point,0.026141036,-0.058930,0.005746857,0.999967,1.8721,True
250,0.5,6,4,point,0.025895474,-0.067770,0.005746857,0.999967,0.5265,True
250,0.5,7,4,point,0.027937652,+0.005747,0.005746857,0.999967,1.0397,True
250,1.0,0,1,op,0.026900475,-0.031591,0.010876613,0.999882,nan,True
250,1.0,1,1,op,0.030466707,+0.096793,0.010876613,0.999882,nan,True
250,1.0,2,1,op,0.024179055,-0.129561,0.010876613,0.999882,nan,True
250,1.0,3,1,op,0.022930352,-0.174514,0.010876613,0.999882,nan,True
250,1.0,4,1,op,0.027888860,+0.003991,0.010876613,0.999882,nan,True
250,1.0,5,1,op,0.022925119,-0.174702,0.010876613,0.999882,nan,True
250,1.0,6,1,op,0.025760498,-0.072629,0.010876613,0.999882,nan,True
250,1.0,7,1,op,0.028521350,+0.026760,0.010876613,0.999882,nan,True
250,1.0,0,1,point,0.025731963,-0.073657,0.009821644,0.999904,nan,True
250,1.0,1,1,point,0.033596618,+0.209469,0.009821644,0.999904,nan,True
250,1.0,2,1,point,0.026472357,-0.047003,0.009821644,0.999904,nan,True
250,1.0,3,1,point,0.021480690,-0.226701,0.009821644,0.999904,nan,True
250,1.0,4,1,point,0.032462076,+0.168625,0.009821644,0.999904,nan,True
250,1.0,5,1,point,0.019994420,-0.280207,0.009821644,0.999904,nan,True
250,1.0,6,1,point,0.022925106,-0.174703,0.009821644,0.999904,nan,True
250,1.0,7,1,point,0.025769113,-0.072319,0.009821644,0.999904,nan,True
250,1.0,0,2,op,0.026971324,-0.029040,0.007707612,0.999941,1.0324,True
250,1.0,1,2,op,0.030533071,+0.099182,0.007707612,0.999941,0.2782,True
250,1.0,2,2,op,0.024499301,-0.118032,0.007707612,0.999941,0.2824,True
250,1.0,3,2,op,0.023073218,-0.169371,0.007707612,0.999941,0.7444,True
250,1.0,4,2,op,0.027973201,+0.007027,0.007707612,0.999941,0.0759,True
250,1.0,5,2,op,0.023328535,-0.160179,0.007707612,0.999941,2.3279,True
250,1.0,6,2,op,0.025644848,-0.076793,0.007707612,0.999941,0.1368,True
250,1.0,7,2,op,0.028812513,+0.037242,0.007707612,0.999941,1.1700,True
250,1.0,0,2,point,0.028856715,+0.038833,0.007962775,0.999937,1.2079,True
250,1.0,1,2,point,0.032955287,+0.186381,0.007962775,0.999937,0.0409,True
250,1.0,2,2,point,0.026524329,-0.045132,0.007962775,0.999937,0.1047,True
250,1.0,3,2,point,0.022807814,-0.178925,0.007962775,0.999937,0.6370,True
250,1.0,4,2,point,0.028378422,+0.021615,0.007962775,0.999937,0.0010,True
250,1.0,5,2,point,0.024008444,-0.135703,0.007962775,0.999937,2.3227,True
250,1.0,6,2,point,0.029632839,+0.066774,0.007962775,0.999937,0.0033,True
250,1.0,7,2,point,0.032875995,+0.183526,0.007962775,0.999937,0.9340,True
250,1.0,0,3,op,0.027424037,-0.012743,0.006541535,0.999957,0.9163,True
250,1.0,1,3,op,0.030771867,+0.107778,0.006541535,0.999957,0.0932,True
250,1.0,2,3,op,0.024647105,-0.112711,0.006541535,0.999957,0.0621,True
