run,L_m,CV,n,geometry,abs_error_pct,Q_hat_kg_s,inverse_crime_flag,posterior_sigma_kg_s,dfs,prior_influence,n_obs,dof,Q_hat_recomputed_kg_s,posterior_sigma_recomputed_kg_s,bias_total_pct,bias_aggregation_pct,bias_transport_pct,chi2,chi2_per_dof
source_heterogeneity_les_rice_paddy_l500_cv1p0_wind3_n2_point,500,1.0,2,Point,7.914522255382773,0.02557950400789977,False,0.007962775240819868,0.9999365942104642,6.340578953578646e-05,2,1,0.025579504007899653,0.00796277524082009,-7.9145222553832095,-10.977842652684007,3.063320397300798,2.4621031340126254,2.4621031340126254
source_heterogeneity_les_rice_paddy_l500_cv1p0_wind3_n3_point,500,1.0,3,Point,3.5060904336508045,0.026804078199340477,False,0.006713805683776611,0.9999549248132404,4.5075186759557795e-05,3,2,0.026804078199340425,0.006713805683776796,-3.5060904336510044,0.6351700347180113,-4.1412604683690155,3.3682593367097344,1.6841296683548672
source_heterogeneity_les_rice_paddy_l500_cv1p0_wind3_n4_point,500,1.0,4,Point,9.41100225698453,0.025163811793054835,False,0.005746856675797012,0.9999669736383479,3.302636165214423e-05,4,3,0.025163811793054613,0.00574685667579715,-9.411002256985341,4.399613661187217,-13.810615918172557,6.027893915780967,2.0092979719269892
source_heterogeneity_les_rice_paddy_l100_cv2p0_wind3_n1_point,100,2.0,1,Point,20.278621821474168,0.022145004430430906,False,0.009821643975094635,0.9999035353096265,9.646469037349892e-05,1,0,0.022145004430430913,0.009821643975094758,-20.278621821474143,-43.192047745570875,22.913425924096728,0.0004904485321896064,
source_heterogeneity_les_rice_paddy_l100_cv2p0_wind3_n2_point,100,2.0,2,Point,1.5510999943639532,0.02820886455643442,False,0.007962775240819868,0.9999365942104642,6.340578953578646e-05,2,1,0.028208864556434322,0.00796277524082009,1.5510999943636035,-26.081111219519403,27.632211213883004,1.513015958080593,1.513015958080593
source_heterogeneity_les_rice_paddy_l100_cv2p0_wind3_n3_point,100,2.0,3,Point,4.611274311654603,0.026497080221708585,False,0.006713805683776611,0.9999549248132404,4.5075186759557795e-05,3,2,0.026497080221708456,0.006713805683776796,-4.611274311655066,-31.6172254209787,27.005951109323636,1.1822648061080843,0.5911324030540421
source_heterogeneity_les_rice_paddy_l100_cv2p0_wind3_n4_point,100,2.0,4,Point,9.038432894367086,0.025267304110602712,False,0.005746856675797012,0.9999669736383479,3.302636165214423e-05,4,3,0.025267304110602434,0.00574685667579715,-9.038432894368084,3.375033535389544,-12.413466429757626,4.122009573068361,1.374003191022787
source_heterogeneity_les_rice_paddy_l250_cv2p0_wind3_n1_point,250,2.0,1,Point,20.997863242261634,0.021945213548564567,False,0.009821643975094635,0.9999035353096265,9.646469037349892e-05,1,0,0.021945213548564574,0.009821643975094758,-20.997863242261598,-37.21773496949787,16.21987172723627,0.00048163885883549166,
source_heterogeneity_les_rice_paddy_l250_cv2p0_wind3_n2_point,250,2.0,2,Point,3.9852830704046958,0.026670968068702988,False,0.007962775240819868,0.9999365942104642,6.340578953578646e-05,2,1,0.026670968068702904,0.00796277524082009,-3.9852830704049835,-33.34241244274064,29.35712937233565,1.236931130975224,1.236931130975224
source_heterogeneity_les_rice_paddy_l250_cv2p0_wind3_n3_point,250,2.0,3,Point,5.3532482605857705,0.02629097469817449,False,0.006713805683776611,0.9999549248132404,4.5075186759557795e-05,3,2,0.02629097469817436,0.006713805683776796,-5.35324826058622,-28.505888467848287,23.152640207262067,1.0911004794029162,0.5455502397014581
source_heterogeneity_les_rice_paddy_l250_cv2p0_wind3_n4_point,250,2.0,4,Point,11.326979322513584,0.02463159168379218,False,0.005746856675797012,0.9999669736383479,3.302636165214423e-05,4,3,0.02463159168379189,0.00574685667579715,-11.326979322514621,-0.04164086768482356,-11.285338454829798,3.76038696645513,1.25346232215171
source_heterogeneity_les_rice_paddy_l500_cv2p0_wind3_n1_point,500,2.0,1,Point,25.56357860545803,0.020676949134975864,False,0.009821643975094635,0.9999035353096265,9.646469037349892e-05,1,0,0.02067694913497587,0.009821643975094758,-25.563578605458023,-28.040563904068605,2.4769852986105807,0.00042757747165879373,
source_heterogeneity_les_rice_paddy_l500_cv2p0_wind3_n2_point,500,2.0,2,Point,18.633281263435673,0.022602047130642833,False,0.007962775240819868,0.9999365942104642,6.340578953578646e-05,2,1,0.022602047130642698,0.00796277524082009,-18.633281263436178,-13.33205312792229,-5.301228135513891,3.2314252427159333,3.2314252427159333
source_heterogeneity_les_rice_paddy_l500_cv2p0_wind3_n3_point,500,2.0,3,Point,13.769986927673461,0.02395297303123086,False,0.006713805683776611,0.9999549248132404,4.5075186759557795e-05,3,2,0.02395297303123076,0.006713805683776796,-13.769986927673845,2.229423297487589,-15.999410225161432,4.77361991222726,2.38680995611363
source_heterogeneity_les_rice_paddy_l500_cv2p0_wind3_n4_point,500,2.0,4,Point,17.419442123868084,0.02293922736683192,False,0.005746856675797012,0.9999669736383479,3.302636165214423e-05,4,3,0.022939227366831644,0.00574685667579715,-17.41944212386909,2.5391612365171925,-19.958603360386284,8.17603135380989,2.7253437846032966
